"profile id","species id","bird name","latin bird name","date","location","latitude","longitude","map"
"1623","297","Strandhjejle","Pluvialis squatarola","2005-06-21","Agger Tange","","",""
"1623","303","Vibe","Vanellus vanellus","2003-04-17","Solbjerg Engsø","","",""
"1623","305","Islandsk Ryle","Calidris canutus","2005-06-21","Agger Tange","","",""
"1623","306","Sandløber","Calidris alba","2005-08-14","Ølsemagle Revle","","",""
"1623","310","Dværgryle","Calidris minuta","2006-05-26","Rømø","","",""
"1623","311","Temmincksryle","Calidris temminckii","","Favrholm Voldgrav","","",""
"1623","316","Stribet Ryle","Calidris melanotos","2012-05-07","Ishøj Strand","","",""
"1623","318","Krumnæbbet Ryle","Calidris ferruginea","2005-07-15","Nexø Sydstrand","","",""
"1623","319","Sortgrå Ryle","Calidris maritima","2009-10-11","Vejers Strand","","",""
"1623","320","Almindelig Ryle","Calidris alpina","2003-07-01","Hjarnø","","",""
"1623","322","Kærløber","Calidris falcinellus","2006-05-25","Kongeåslusen","","",""
"1623","325","Brushane","Calidris pugnax","2004-08-15","Klydesøen, Vestamager","","",""
"1623","326","Enkeltbekkasin","Lymnocryptes minimus","2008-10-13","Dueodde","","",""
"1623","327","Dobbeltbekkasin","Gallinago gallinago","2004-08-15","Klydesøen, Vestamager","","",""
"1623","328","Tredækker","Gallinago media","2009-05-08","Gårdbovej, Sørig","","",""
"1623","332","Langnæbbet Sneppeklire","Limnodromus scolopaceus","2017-07-21","Saltvandssøen","","",""
"1623","333","Skovsneppe","Scolopax rusticola","2005-05-28","Gribskov","","",""
"1623","334","Stor Kobbersneppe","Limosa limosa","2005-06-19","Krap-tårnet, Vejlerne","","",""
"1623","336","Lille Kobbersneppe","Limosa lapponica","2005-06-21","Agger Tange","","",""
"1623","339","Småspove","Numenius phaeopus","2006-08-06","Sønderho Strand","","",""
"1623","341","Storspove","Numenius arquata","2005-06-19","Bygholm Vejle","","",""
"1623","352","Terekklire","Xenus cinereus","2006-05-25","Kammerslusen","","",""
"1623","353","Mudderklire","Actitis hypoleucos","2003-04-17","Solbjerg Engsø","","",""
"1623","350","Svaleklire","Tringa ochropus","2004-08-15","Vestamager","","",""
"1623","343","Sortklire","Tringa erythropus","2005-06-19","Krap-tårnet, Vejlerne","","",""
"1623","346","Hvidklire","Tringa nebularia","2005-06-19","Kraptårnet, Vejlerne","","",""
"1623","345","Damklire","Tringa stagnatilis","2005-06-21","Feggesund","","",""
"1623","351","Tinksmed","Tringa glareola","2004-08-15","Vestamager","","",""
"1623","344","Rødben","Tringa totanus","2003-04-17","Solbjerg Engsø","","",""
"1623","357","Stenvender","Arenaria interpres","2005-06-21","Agger Tange","","",""
"1623","359","Odinshane","Phalaropus lobatus","2011-08-05","Sneum Digesø","","",""
"1623","360","Thorshane","Phalaropus fulicarius","2007-09-20","Helsingør Lystbådehavn","","",""
"1623","361","Mellemkjove","Stercorarius pomarinus","2007-10-14","Gedser Odde","","",""
"1623","362","Almindelig Kjove","Stercorarius parasiticus","2005-06-22","Lild Strand","","",""
"1623","363","Lille Kjove","Stercorarius longicaudus","2011-10-12","Børstrup Hage","","",""
"1623","364","Storkjove","Stercorarius skua","2006-05-25","Sneum Sluse","","",""
"1623","373","Sabinemåge","Xema sabini","2007-09-08","Blåvands Huk","","",""
"1623","390","Ride","Rissa tridactyla","2005-06-20","Bulbjerg","","",""
"1623","374","Bonapartemåge","Chroicocephalus philadelphia","2012-08-04","Blåvands Huk","","",""
"1623","375","Hættemåge","Chroicocephalus ridibundus","","","","",""
"1623","372","Dværgmåge","Hydrocoloeus minutus","2005-06-18","Kogleaks, Vejlerne","","",""
"1623","369","Sorthovedet Måge","Ichthyaetus melanocephalus","2007-04-15","Holmesø","","",""
"1623","381","Stormmåge","Larus canus","","Gribskovbanen","","",""
"1623","382","Sildemåge","Larus fuscus","","Gilleleje Strand","","",""
"1623","383","Sølvmåge","Larus argentatus","","Hillerød Vandrensningsanlæg","","",""
"1623","981","Middelhavssølvmåge","Larus michahellis","2013-08-17","Fovrfeltbækkens Udløb, Esbjerg","","",""
"1623","980","Kaspisk Måge","Larus cachinnans","2013-12-11","Vedbæk Havn","","",""
"1623","384","Hvidvinget Måge","Larus glaucoides","2009-05-08","Skagen Havn","","",""
"1623","385","Gråmåge","Larus hyperboreus","2007-05-17","Christiansø","","",""
"1623","386","Svartbag","Larus marinus","2003-04-17","Solbjerg Engsø","","",""
"1623","407","Dværgterne","Sternula albifrons","2005-06-21","Agger Tange","","",""
"1623","392","Sandterne","Gelochelidon nilotica","2013-08-04","Filsø","","",""
"1623","393","Rovterne","Hydroprogne caspia","2009-07-26","Ølsemagle Revle","","",""
"1623","409","Hvidskægget Terne","Chlidonias hybrida","2013-05-10","Utterslev Mose","","",""
"1623","410","Sortterne","Chlidonias niger","2005-06-18","Kogleaks, Vejlerne","","",""
"1623","411","Hvidvinget Terne","Chlidonias leucopterus","2010-09-02","Hestholm, Skjern Enge","","",""
"1623","397","Splitterne","Thalasseus sandvicensis","","Gilleleje Strand","","",""
"1623","400","Fjordterne","Sterna hirundo","2003-06-14","Vaserne","","",""
"1623","401","Havterne","Sterna paradisaea","2003-07-01","Hjarnø","","",""
"1623","414","Lomvie","Uria aalge","2005-12-28","Tisvilde Strand","","",""
"1623","416","Alk","Alca torda","2006-10-14","Farvandet mellem Grenaa og Anholt","","",""
"1623","418","Tejst","Cepphus grylle","2006-10-19","Farvandet mellem Grenaa og Anholt","","",""
"1623","420","Søkonge","Alle alle","2006-11-04","Gilleleje","","",""
"1623","432","Klippedue","Columba livia","","","","",""
"1623","433","Huldue","Columba oenas","2006-10-14","Nordbjerg, Anholt","","",""
"1623","435","Ringdue","Columba palumbus","","","","",""
"1623","440","Tyrkerdue","Streptopelia decaocto","","Holmene","","",""
"1623","441","Turteldue","Streptopelia turtur","2012-09-29","Mandø","","",""
"1623","451","Gøg","Cuculus canorus","","Fyn","","",""
"1623","456","Slørugle","Tyto alba","2017-07-27","Den Hemmelige Lade, Filsø","","",""
"1623","459","Stor Hornugle","Bubo bubo","2014-05-29","Kongerslev Kalkbrud","","",""
"1623","462","Høgeugle","Surnia ulula","2006-01-15","Gribskov","","",""
"1623","464","Kirkeugle","Athene noctua","2006-05-25","Føvling","","",""
